用いたデータ,,,,,,,,,,,,,,
データNo.,変数1,変数3,変数4,変数5,変数6,変数7,,データNo.,変数1,変数3,変数4,変数5,変数6,変数7
1,478,40,74,11,31,20,,26,799,35,57,9,60,18
2,494,32,72,11,43,18,,27,439,31,61,19,14,12
3,643,57,70,18,16,16,,28,867,39,52,17,31,10
4,341,31,71,11,25,19,,29,912,27,44,21,24,9
5,773,67,72,9,29,24,,30,462,36,43,18,23,8
6,603,25,68,8,32,15,,31,859,38,48,19,22,10
7,484,34,68,12,24,14,,32,805,46,57,14,25,12
8,546,33,62,13,28,11,,33,652,29,47,19,25,9
9,424,36,69,7,25,12,,34,776,32,50,19,21,9
10,548,31,66,9,58,15,,35,919,39,48,16,32,11
11,506,35,60,13,21,9,,36,732,44,49,13,31,14
12,819,30,81,4,77,36,,37,657,33,72,13,13,22
13,541,44,66,9,37,12,,38,1419,43,59,14,21,13
14,491,32,67,11,37,16,,39,989,22,49,9,46,13
15,514,30,65,12,35,11,,40,821,30,54,13,27,12
16,371,16,64,10,42,14,,41,1740,86,62,22,18,15
17,457,29,64,12,21,10,,42,815,30,47,17,39,11
18,437,36,62,7,81,27,,43,760,32,45,34,15,10
19,570,30,59,15,31,16,,44,936,43,48,26,23,12
20,432,23,56,15,50,15,,45,863,20,69,23,7,12
21,619,33,46,22,24,8,,46,783,55,42,23,23,11
22,357,35,54,14,27,13,,47,715,44,49,18,30,12
23,623,38,54,20,22,11,,48,1504,37,57,15,35,13
24,547,44,45,26,18,8,,49,1324,82,72,22,15,16
25,792,28,57,12,23,11,,50,940,66,67,26,18,16
,,,,,,,,,,,,,,
変数1:人口100万人あたりの犯罪者数,,,,,,,,変数5:16-19歳で高校に通っていない人の割合,,,,,,
変数3:警察への年間資金,,,,,,,,変数6:18-24歳で大学生の割合,,,,,,
変数4:25歳以上で高校を卒業した人の割合,,,,,,,,変数7:25歳以上で4年生大学を卒業した人の割合,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
描画に要した時間：,,2.681,秒,,,,,描画に要した時間：,,0.705,秒,,,
